video_id,title,upload_date,has_transcript,reference_count,processed_at
K4gYHs84BIc,“A Top Government Official Told Me Aliens Run Everything!” -Dylan Borland UNLEASHED,2026-08-05,true,20,2026-08-06T00:36:52.356807+00:00
uYyXpx7ADJQ,"""There's A UFO Under the Ranch!"" - Skinwalker Owner Breaks Silence",2026-07-26,true,27,2026-08-06T00:36:52.357808+00:00
uVVqFg2v7ro,NASA’s Biggest Secret Just Got Exposed (The Truth About The Moon),2026-07-20,true,46,2026-08-06T00:36:52.357808+00:00
ZTIO-xAP0Dw,Eric Weinstein Reveals UFO Physics! (Exclusive Interview),2021-10-04,true,2,2026-08-06T00:36:52.357808+00:00
I9VyyV4-3Js,"""Jesus Was In A Secret Occult Group!"" -Top Researcher Brian Muraresku",2021-10-13,true,6,2026-08-06T00:36:52.359205+00:00
eQIMantuasQ,Why The CIA Ran A Psychic Spy Program,2021-11-11,true,7,2026-08-06T00:36:52.359205+00:00
aku3ufVb-AQ,The “Clock” That Can Predict Death,2021-11-29,true,4,2026-08-06T00:36:52.359205+00:00
5Ne8ZbYxjKs,Why American Sperm Count Dropped 41% in 50 years,2021-12-01,true,9,2026-08-06T00:36:52.359205+00:00
dzTZbSNsKV8,“These Are Parts Of an Alien UFO!” -Stanford Scientist Garry Nolan,2021-12-10,true,3,2026-08-06T00:36:52.360205+00:00
fZDlqneYEYY,How This Investor Helped After a Nuclear Disaster,2021-12-14,true,4,2026-08-06T00:36:52.360205+00:00
_CBtd8Om-hU,Wim Hof Says His Immune System Can Handle ANYTHING,2021-12-21,true,5,2026-08-06T00:36:52.360205+00:00
fJ6xNDu8MPU,How to Find your Calling | Robert Greene & Ryan Holiday,2022-01-06,true,13,2026-08-06T00:36:52.360205+00:00
qAou_h1POWs,The 26 Year Old Prodigy Reverse Engineering UFOs (Ft. Deep Prasad),2022-01-19,true,4,2026-08-06T00:36:52.360205+00:00
OB8CsDl9_XU,Jake Paul Reflects on Whole Career,,true,0,2026-08-06T00:36:52.361304+00:00
4U3JaHp2B5Y,Tinder Founder Shares Priceless Investing Secrets,,true,0,2026-08-06T00:36:52.361304+00:00
ImC4BcCObM8,“I Saw a Triangle Shaped UFO At a NASA Hangar!” Dylan Borland Tells All,,false,0,2026-08-06T00:36:52.361304+00:00
Feo3OIdCL5o,Skinwalker Ranch Owner Reveals “Time Portal” On the Property,,false,0,2026-08-06T00:36:52.361304+00:00
RROhyVQ-QJk,The Mysterious Origins of Lyme Disease,2021-10-21,false,0,2026-08-06T00:38:00.253635+00:00
HUGNqAyBUDw,Why the Soylent Founder Moved to a Goat Farm,2021-10-29,false,0,2026-08-06T00:38:03.020965+00:00
_bM9eAtCOGw,Harvard is Studying UFOs (Ft. Avi Loeb),2022-01-28,true,9,2026-08-07T15:22:35.666130+00:00
iQOibpIDx-4,Eric Weinstein Debates CIA UFO Expert Hal Puthoff,2022-02-11,true,13,2026-08-07T15:24:16.538350+00:00
9LGohiMmlu4,Mushrooms Are Alien Mind Control Capsules (ft. Tero Isokauppila),2022-02-18,false,0,2026-08-07T15:24:25.659709+00:00
tOPF8uCYZr0,Did the CIA Brainwash Charles Manson?,2022-02-25,true,6,2026-08-07T15:34:28.654452+00:00
DRVaf3M4FHw,"Tyler Cowen: Satoshi Identity, UFOs, Esoteric Jesus",2022-03-02,false,0,2026-08-07T15:34:32.640314+00:00
BRvYPmVsx0k,Garrett McNamara on How He Surfed the 100 Ft Wave,2022-03-22,false,0,2026-08-07T15:34:38.526914+00:00
KhmUixSXxDo,Alex Jones Getting Drunk & Painting Rocks [INTERVIEW],2022-04-11,true,8,2026-08-07T15:35:13.056968+00:00
7W7iOt57fOo,I Searched for UFOs on Skinwalker Ranch…,2022-08-10,true,3,2026-08-07T15:40:27.159105+00:00
2Mb6NPPjCyg,"Martin Shkreli on Life in Prison, Pharma, UFO’s",2022-09-02,true,14,2026-08-07T15:41:09.881984+00:00
RNjC1vLcxKo,“Artificial Intelligence Is An Alien Life Form” -Google Whistleblower (Blake Lemoine),2022-09-09,true,9,2026-08-07T15:41:34.300891+00:00
jyTKETcxj0M,UFOs & Nukes: The Bizarre Truth Ft. RedPandaKoala,2022-10-18,false,0,2026-08-07T15:41:39.182853+00:00
fyX8V1XXmQM,He's Seen More UFO Evidence Than Anyone Alive (Ft. Jacques Vallee),2022-11-22,true,11,2026-08-07T15:42:21.768392+00:00
dfPfPB601hw,"Graham Hancock: Aliens, Atlantis & the Apocalypse",2022-12-22,true,20,2026-08-07T15:42:48.052898+00:00
kRO5jOa06Qw,"If You Still Think UFOs Are Fake, Watch This (David Grusch Interview)",2023-09-11,true,37,2026-08-07T15:43:58.520678+00:00
Y26iMB0r-f8,"""Aliens Are Humans From The Future!"" (Ft. Mike Masters & David Grusch)",2023-11-11,true,14,2026-08-07T15:44:23.331251+00:00
TH10mD9hQas,How I Know David Grusch Is Not Lying…,2023-11-19,true,12,2026-08-07T15:44:43.981941+00:00
tS_64sTN5AU,UFOs & Religion: Vatican Reveals Hidden Link (Ft. Diana Pasulka),2023-12-11,true,24,2026-08-07T15:45:49.388980+00:00
RTEWLSTyUic,The CIA Scientist Who Built UFOs Before Bob Lazar (Townsend Brown Documentary) ,2024-02-22,true,42,2026-08-07T15:57:38.599611+00:00
AVJEXCTAJUc,Why Jonah Hill Made A Documentary About My Family,2024-03-21,true,13,2026-08-07T15:58:06.289113+00:00
2SQXAPCdmPE,The Man Involved In Every American Conspiracy,2024-08-22,true,34,2026-08-07T15:59:00.680680+00:00
wT5-hXWIkzM,Meet The Scientist BANNED By TED Talks (ft. Rupert Sheldrake) ,2024-09-11,true,16,2026-08-07T15:59:26.931868+00:00
G7Ns4Aq1tVc,“We Have Antigravity UFOs!” (ft. Nick Cook),2024-09-17,true,23,2026-08-07T16:00:08.003434+00:00
1f16VvXaSSE,“Multiple Alien Groups May Be Visiting Earth!” (Lue Elizondo Documentary),2024-10-10,true,21,2026-08-07T16:02:27.548724+00:00
5udx_SDdL3Y,Did Oppenheimer Work on UFOs?,2024-10-19,true,20,2026-08-07T16:03:12.387129+00:00
9PJJiut0Iuw,Graham Hancock: The Great Pyramid Is a “Stargate” for Consciousness!,2024-10-26,true,15,2026-08-07T16:03:56.006391+00:00
A_LsUSxTm7A,"Something Big Happened In 12,000 BC...",2024-11-09,true,30,2026-08-07T16:04:37.865869+00:00
RofQnByLwOo,Your Brain Is A Quantum Time Machine (ft. Eric Wargo),2024-11-13,true,9,2026-08-07T16:04:58.217766+00:00
DPmO-2E7Ayg,Breaking UFO Story: ‘Immaculate Constellation’ UFO Program (Ft. Michael Shellenberger),2024-11-14,true,12,2026-08-07T16:05:22.090437+00:00
LpLFWdsIU7M,UFO Physics & Disclosure Under Trump (ft. Matthew Pines),2024-11-15,true,27,2026-08-07T16:07:24.463082+00:00
aKZ_MUbuk_Q,MIT Scientist: We Live In a Hologram (And Here's The Proof!),2024-11-22,true,18,2026-08-07T16:08:09.431019+00:00
hXYdkcv5TtY,"UFOs, Synchronicities & Prophetic Dreams (Ft. Eric Wargo)",2024-11-30,true,24,2026-08-07T16:09:23.771684+00:00
75Je_0hZovQ,The CIA’s Mind Control Program (Ft. Tom O’Neill),2024-12-03,true,10,2026-08-07T16:10:33.634669+00:00
6WC4o2yY9Ws,US Fighter Pilots Witness UFO (ft. Ryan Graves),2024-12-06,true,12,2026-08-07T16:11:15.638911+00:00
LnAiNChnuEQ,Eric Davis: “A US President Was Briefed on UFOs!” ,2024-12-12,true,11,2026-08-07T16:11:41.536400+00:00
2Xxmguz0GEQ,"CIA Contractor: ""Obama Received An Alien Prophecy""",2024-12-14,true,21,2026-08-07T16:12:34.310222+00:00
aa9Xx5wI8Rw,The Biblical Truth of UFOs & Angels (Ft. Karl Nell & Diana Pasulka),2024-12-19,true,16,2026-08-07T16:13:20.862842+00:00
fzvwBBSmWYA,UFOs Are Monitoring Nuclear Bases Globally (Ft. Robert Hastings),2024-12-24,true,37,2026-08-07T16:14:20.340933+00:00
0qlppHc3-gg,"""These Children Can Read Your Mind!” (ft. Ky Dickens | Telepathy Tapes Documentary)",2025-01-07,true,14,2026-08-07T16:14:50.844527+00:00
Sct30Qijfv8,“I Saw Alien Technology At A Military Base!” (Ft. Randy Anderson),2025-01-13,true,7,2026-08-07T16:15:11.864968+00:00
73YBwFvcmF8,Nuclear Guard Speaks Out About UFO Abduction,2025-01-16,true,4,2026-08-07T16:15:29.965166+00:00
8TYMQOUDQBo,Meet the Navy Scientist With UFO Patents (Ft. Salvatore Pais),2025-01-24,true,25,2026-08-07T16:16:34.819036+00:00
1iaH1a3A4Lk,UFO Skeptic Mick West Challenged To A Debate,2025-01-26,true,36,2026-08-07T16:17:31.613725+00:00
dnnpyNuPdXs,"""I Retrieved a UFO With My Helicopter!"" -Jake Barber",2025-01-30,true,25,2026-08-07T16:18:47.936967+00:00
ABOP8ZJsyIk,"""Aliens Live Among Us...I've Met Them!"" -Whitley Strieber Tells All",2025-02-07,true,23,2026-08-07T16:20:11.999000+00:00
5OUzGygIrSw,“Aliens Taught Me Advanced Physics!” (Ft. Dave Rossi),2025-02-13,true,18,2026-08-07T16:20:45.471336+00:00
9QMrhcpJq8I,"The Age of Psionics: UFOs, Mind Control, & Global Power Structures (Ft. Matthew Pines)",2025-02-16,true,23,2026-08-07T16:21:49.769542+00:00
bVhSPH2A5Vw,The Most Important UFO Investigator On The Planet (ft. James Fox),2024-09-28,true,35,2026-08-07T16:35:31.746723+00:00
nTiFs8LudUo,UAPGerb: “The New Area51 Is HERE in Utah!”,2025-02-21,true,44,2026-08-07T16:36:47.430063+00:00
lbGE3EC6StE,Meet the Astronomer Tracking UFOs,2025-02-25,true,16,2026-08-07T16:37:15.016512+00:00
JpLThEF2dTM,“Mars Had Alien Life!” (Ft. Joe McMoneagle),2025-03-01,true,27,2026-08-07T16:38:21.314547+00:00
yAvD5UTziTo,Meet The DARPA Scientist Abducted By an Alien ,2025-03-07,true,23,2026-08-07T16:39:10.023392+00:00
p0S0BfoZy0w,Life on Mars Destroyed by Nuclear War! (Ft. Dr. John Brandenburg),2025-03-13,true,17,2026-08-07T16:39:38.000934+00:00
h3u8EkGI8OQ,"""Aliens Are Accelerating Human Evolution!"" (Ft. Chris Ramsay)",2025-03-22,true,14,2026-08-07T16:40:50.909622+00:00
D2tKCFmJjks,“I Saw A 300ft UFO In The Indonesian Jungle” (Ft. Michael Herrera & UAPGerb),2025-03-26,true,12,2026-08-07T16:46:17.281876+00:00
KGD1nuM4MR8,"“Tesla's Technology is Still Classified!"" (Ft. Senate Staffer Kirk McConnell)",2025-04-02,true,18,2026-08-07T16:47:27.544908+00:00
areO7Mej44E,“UFO Secrets Are Held By A Global Cabal” (Ft. Steven Greer),2025-04-10,true,29,2026-08-07T16:48:50.724384+00:00
Jpf0ZGY87c0,Did Henry Kissinger Oversee A UFO Crash Retrieval Program?,2025-04-17,true,25,2026-08-07T16:49:48.910813+00:00
09KP8XVf5nY,Presidential Advisor: “I Directly Handled UFO Material” (Ft. Harald Malmgren),2025-04-22,true,31,2026-08-07T16:50:38.596091+00:00
KRDE1i3LDuU,Plato’s Cave & UFOs: Consciousness Is Key (ft. James Madden),2025-04-28,true,28,2026-08-07T16:51:33.268038+00:00
92XrddiKjHY,"""The Pyramids Are NOT What We Think!"" (Ft. Luke Caverns)",2025-05-01,true,27,2026-08-07T16:52:28.517791+00:00
JGE1NIGhBzw,The Moon Is An Alien Spaceship (Ft. Randall Carlson),2025-05-16,true,15,2026-08-07T16:52:57.273081+00:00
y_8IKKcTntQ,Meet The Startup Summoning UFOs: Skywatcher Interview,2025-05-22,true,4,2026-08-07T16:53:14.277212+00:00
C4rSj5Aum7w,UFOs & JFK: He Knew Too Much! (Ft. Danny Sheehan),2025-05-31,true,24,2026-08-07T16:54:07.479818+00:00
