video_id,input_tokens,output_tokens,cache_creation_input_tokens,cache_read_input_tokens,logged_at
RTEWLSTyUic,35052,4218,0,0,2026-08-07T15:57:38.599611+00:00
AVJEXCTAJUc,28081,1101,0,0,2026-08-07T15:58:06.289113+00:00
2SQXAPCdmPE,56299,3930,0,0,2026-08-07T15:59:00.680680+00:00
wT5-hXWIkzM,30674,1687,0,0,2026-08-07T15:59:26.931868+00:00
G7Ns4Aq1tVc,23878,2643,0,0,2026-08-07T16:00:08.003434+00:00
1f16VvXaSSE,34890,2149,0,0,2026-08-07T16:02:27.548724+00:00
5udx_SDdL3Y,15683,2420,0,0,2026-08-07T16:03:12.387129+00:00
9PJJiut0Iuw,28572,1414,0,0,2026-08-07T16:03:56.006391+00:00
A_LsUSxTm7A,57024,2902,0,0,2026-08-07T16:04:37.865257+00:00
RofQnByLwOo,9777,941,0,0,2026-08-07T16:04:58.217766+00:00
DPmO-2E7Ayg,13105,1407,0,0,2026-08-07T16:05:22.090437+00:00
LpLFWdsIU7M,87119,6247,0,0,2026-08-07T16:07:24.463082+00:00
aKZ_MUbuk_Q,26508,3073,0,0,2026-08-07T16:08:09.431019+00:00
hXYdkcv5TtY,25438,3409,0,0,2026-08-07T16:09:23.771684+00:00
75Je_0hZovQ,10149,2232,0,0,2026-08-07T16:10:33.634669+00:00
6WC4o2yY9Ws,25458,1442,0,0,2026-08-07T16:11:15.638911+00:00
LnAiNChnuEQ,15838,1266,0,0,2026-08-07T16:11:41.536400+00:00
2Xxmguz0GEQ,32715,2222,0,0,2026-08-07T16:12:34.310222+00:00
aa9Xx5wI8Rw,23275,1555,0,0,2026-08-07T16:13:20.862842+00:00
fzvwBBSmWYA,34369,4405,0,0,2026-08-07T16:14:20.340933+00:00
0qlppHc3-gg,36827,1539,0,0,2026-08-07T16:14:50.844527+00:00
Sct30Qijfv8,30470,842,0,0,2026-08-07T16:15:11.864968+00:00
73YBwFvcmF8,39818,403,0,0,2026-08-07T16:15:29.963984+00:00
8TYMQOUDQBo,33895,4496,0,0,2026-08-07T16:16:34.818034+00:00
1iaH1a3A4Lk,78393,4158,0,0,2026-08-07T16:17:31.613725+00:00
dnnpyNuPdXs,51885,4877,0,0,2026-08-07T16:18:47.936967+00:00
ABOP8ZJsyIk,41511,4469,0,0,2026-08-07T16:20:11.999000+00:00
5OUzGygIrSw,39108,2286,0,0,2026-08-07T16:20:45.471336+00:00
9QMrhcpJq8I,51925,4211,0,0,2026-08-07T16:21:49.769542+00:00
bVhSPH2A5Vw,57252,3775,0,0,2026-08-07T16:35:31.745220+00:00
nTiFs8LudUo,50522,4554,0,0,2026-08-07T16:36:47.430063+00:00
lbGE3EC6StE,16002,1749,0,0,2026-08-07T16:37:15.016512+00:00
JpLThEF2dTM,39211,5008,0,0,2026-08-07T16:38:21.313469+00:00
yAvD5UTziTo,46345,2693,0,0,2026-08-07T16:39:10.021889+00:00
p0S0BfoZy0w,32014,1839,0,0,2026-08-07T16:39:38.000934+00:00
h3u8EkGI8OQ,49243,4412,0,0,2026-08-07T16:40:50.909622+00:00
D2tKCFmJjks,43852,1457,0,0,2026-08-07T16:46:17.281876+00:00
KGD1nuM4MR8,34613,2100,0,0,2026-08-07T16:47:27.544908+00:00
areO7Mej44E,65867,6360,0,0,2026-08-07T16:48:50.724384+00:00
Jpf0ZGY87c0,18876,4644,0,0,2026-08-07T16:49:48.909806+00:00
09KP8XVf5nY,52365,3592,0,0,2026-08-07T16:50:38.596091+00:00
KRDE1i3LDuU,40806,2469,0,0,2026-08-07T16:51:33.268038+00:00
92XrddiKjHY,47414,2753,0,0,2026-08-07T16:52:28.517791+00:00
JGE1NIGhBzw,57354,1414,0,0,2026-08-07T16:52:57.273081+00:00
y_8IKKcTntQ,38252,437,0,0,2026-08-07T16:53:14.277212+00:00
C4rSj5Aum7w,52149,2626,0,0,2026-08-07T16:54:07.478814+00:00
SZBI85yvV5A,16159,957,0,0,2026-08-07T16:54:26.915432+00:00
h0hAit-KH9A,6829,2818,0,0,2026-08-07T16:55:06.295919+00:00
V00WcEiKRAY,33816,5287,0,0,2026-08-07T16:56:14.732228+00:00
GQlWf54K_7Y,44406,3174,0,0,2026-08-07T16:57:01.650677+00:00
WBTqsbwJyqU,34653,2473,0,0,2026-08-07T16:57:43.446131+00:00
-0g3lLGxNfc,30261,3760,0,0,2026-08-07T16:58:33.696771+00:00
51N8OxqZIWY,72687,3348,0,0,2026-08-07T16:59:47.250173+00:00
8XD1ZiuhXoY,39752,1986,0,0,2026-08-07T17:00:24.926393+00:00
JE1oM89dpBc,43876,2554,0,0,2026-08-07T17:01:16.913724+00:00
HxQN2tkQHs8,24488,1605,0,0,2026-08-07T17:01:49.870440+00:00
TNtlzEnl8rA,42465,2925,0,0,2026-08-07T17:06:45.428075+00:00
QgxjtDS2sIQ,36222,1616,0,0,2026-08-07T17:07:24.381756+00:00
zjpvfDFc4fg,18617,2931,0,0,2026-08-07T17:08:07.985408+00:00
EzPmG_7WhXc,59513,6802,0,0,2026-08-07T17:09:42.792212+00:00
q7Czo77qhHA,28933,2396,0,0,2026-08-07T17:10:25.868956+00:00
Rfmy5oW_r9c,60646,1889,0,0,2026-08-07T17:10:59.362911+00:00
1zRWi_r3HRM,24358,1519,0,0,2026-08-07T17:11:27.528178+00:00
ABw7EsWh2Us,71423,9188,0,0,2026-08-07T17:13:29.453784+00:00
aGqFOxuYRT0,27470,212,0,0,2026-08-07T17:13:44.870917+00:00
Y7PLeu5rTv4,92455,3219,0,0,2026-08-07T17:14:52.013968+00:00
C_Na1tI5qpw,60699,3267,0,0,2026-08-07T17:15:37.550518+00:00
zrmG2jBckgk,28838,2736,0,0,2026-08-07T17:16:28.757385+00:00
IFaXi-NrPV0,36034,1786,0,0,2026-08-07T17:17:03.525499+00:00
335V-grwi8c,1666,9,0,0,2026-08-07T17:17:12.121480+00:00
hBrfe4hFuM0,66295,3093,0,0,2026-08-07T17:18:02.135779+00:00
bM18PJY6_Zc,60519,3777,0,0,2026-08-07T17:18:59.831695+00:00
u7g5Sn1DJF4,81596,5740,0,0,2026-08-07T17:20:22.342339+00:00
IWui5cBkwoE,36341,2886,0,0,2026-08-07T17:26:37.712298+00:00
UkKwa4jU0fc,59045,564,0,0,2026-08-07T17:27:08.328482+00:00
Qe8br8yYEDM,25678,1792,0,0,2026-08-07T17:27:47.192964+00:00
ATJwqp5twAg,79495,2476,0,0,2026-08-07T17:28:41.149651+00:00
Rjr3Yq-dMUE,34901,5157,0,0,2026-08-07T17:30:10.359767+00:00
2ttdlCa5ZCI,41094,2886,0,0,2026-08-07T17:30:53.537665+00:00
xnxasfyHtfo,68655,7230,0,0,2026-08-07T17:32:27.351346+00:00
NvQXmtcwHA8,68206,1301,0,0,2026-08-07T17:32:56.121856+00:00
iPxbILOMQ08,31279,1649,0,0,2026-08-07T17:33:28.040646+00:00
UrHLTFvdEZk,38532,3110,0,0,2026-08-07T17:34:17.416350+00:00
mOWwdIuyaQA,49825,1211,0,0,2026-08-07T17:34:41.807300+00:00
CiQTBOQ1dTg,87705,4612,0,0,2026-08-07T17:36:24.066596+00:00
d9tdJ2SkBKQ,60144,2279,0,0,2026-08-07T17:37:04.721705+00:00
wlsQIbpEKSM,31805,4616,0,0,2026-08-07T17:38:14.821884+00:00
jMCavr3dVP0,55104,4556,0,0,2026-08-07T17:45:07.477928+00:00
